id,mode,condition,alpha,prob_inc_base,prob_inc_clamp,delta_prob_inc,logprob_inc_base,logprob_inc_clamp,delta_logprob_inc,innov_mass_base,innov_mass_clamp,delta_mass
1301_5,scale,neutral,1.0,0.012431650853185818,0.014063627043245474,0.0016319761900596558,-22.0,-20.375,1.625,0.00023365020751953125,2.995133399963379e-06,-0.00023065507411956787
1301_5,scale,neutral,1.2,0.012431650853185818,0.014063627043245474,0.0016319761900596558,-22.0,-20.375,1.625,0.00023365020751953125,2.995133399963379e-06,-0.00023065507411956787
1301_5,scale,neutral,1.5,0.012431650853185818,0.014063627043245474,0.0016319761900596558,-22.0,-20.375,1.625,0.00023365020751953125,2.995133399963379e-06,-0.00023065507411956787
1376_17,cap,safe,0.2,2.931153855960119e-05,0.0002034269780552065,0.0001741154394956053,-12.8125,-19.0,-6.1875,0.0002460479736328125,5.32054400537163e-11,-0.00024604792042737245
1376_17,cap,safe,0.5,2.931153855960119e-05,0.000295957113513077,0.0002666455749534758,-12.8125,-16.0,-3.1875,0.0002460479736328125,4.132743924856186e-09,-0.00024604384088888764
1376_17,cap,safe,0.8,2.931153855960119e-05,0.00025315637215092633,0.00022384483359132515,-12.8125,-16.125,-3.3125,0.0002460479736328125,1.8533319234848022e-07,-0.000245862640440464
1376_17,cap,safe,1.0,2.931153855960119e-05,0.00025315637215092633,0.00022384483359132515,-12.8125,-16.25,-3.4375,0.0002460479736328125,9.462237358093262e-07,-0.0002451017498970032
1376_17,cap,safe,1.2,2.931153855960119e-05,0.0002234163601827719,0.00019410482162317071,-12.8125,-16.25,-3.4375,0.0002460479736328125,1.0058283805847168e-06,-0.0002450421452522278
1376_17,cap,safe,1.5,2.931153855960119e-05,0.0002234163601827719,0.00019410482162317071,-12.8125,-16.25,-3.4375,0.0002460479736328125,1.0058283805847168e-06,-0.0002450421452522278
1376_17,cap,random,0.2,2.931153855960119e-05,0.0002611903190957194,0.00023187878053611825,-12.8125,-16.125,-3.3125,0.0002460479736328125,1.0058283805847168e-06,-0.0002450421452522278
1376_17,cap,random,0.5,2.931153855960119e-05,0.0002611903190957194,0.00023187878053611825,-12.8125,-16.125,-3.3125,0.0002460479736328125,1.0058283805847168e-06,-0.0002450421452522278
1376_17,cap,random,0.8,2.931153855960119e-05,0.0002611903190957194,0.00023187878053611825,-12.8125,-16.125,-3.3125,0.0002460479736328125,1.0058283805847168e-06,-0.0002450421452522278
1376_17,cap,random,1.0,2.931153855960119e-05,0.0002611903190957194,0.00023187878053611825,-12.8125,-16.125,-3.3125,0.0002460479736328125,1.0058283805847168e-06,-0.0002450421452522278
1376_17,cap,random,1.2,2.931153855960119e-05,0.0002611903190957194,0.00023187878053611825,-12.8125,-16.125,-3.3125,0.0002460479736328125,1.0058283805847168e-06,-0.0002450421452522278
1376_17,cap,random,1.5,2.931153855960119e-05,0.0002611903190957194,0.00023187878053611825,-12.8125,-16.125,-3.3125,0.0002460479736328125,1.0058283805847168e-06,-0.0002450421452522278
1376_17,cap,neutral,0.2,2.931153855960119e-05,0.0002234163601827719,0.00019410482162317071,-12.8125,-16.25,-3.4375,0.0002460479736328125,1.0058283805847168e-06,-0.0002450421452522278
1376_17,cap,neutral,0.5,2.931153855960119e-05,0.0002234163601827719,0.00019410482162317071,-12.8125,-16.25,-3.4375,0.0002460479736328125,1.0058283805847168e-06,-0.0002450421452522278
1376_17,cap,neutral,0.8,2.931153855960119e-05,0.0002234163601827719,0.00019410482162317071,-12.8125,-16.25,-3.4375,0.0002460479736328125,1.0058283805847168e-06,-0.0002450421452522278
1376_17,cap,neutral,1.0,2.931153855960119e-05,0.0002234163601827719,0.00019410482162317071,-12.8125,-16.25,-3.4375,0.0002460479736328125,1.0058283805847168e-06,-0.0002450421452522278
1376_17,cap,neutral,1.2,2.931153855960119e-05,0.0002234163601827719,0.00019410482162317071,-12.8125,-16.25,-3.4375,0.0002460479736328125,1.0058283805847168e-06,-0.0002450421452522278
1376_17,cap,neutral,1.5,2.931153855960119e-05,0.0002234163601827719,0.00019410482162317071,-12.8125,-16.25,-3.4375,0.0002460479736328125,1.0058283805847168e-06,-0.0002450421452522278
1376_17,scale,safe,0.2,2.931153855960119e-05,0.00013982207564732912,0.00011051053708772793,-12.8125,-20.125,-7.3125,0.0002460479736328125,4.843059286940843e-11,-0.00024604792520221963
1376_17,scale,safe,0.5,2.931153855960119e-05,0.00013982207564732912,0.00011051053708772793,-12.8125,-17.625,-4.8125,0.0002460479736328125,4.132743924856186e-09,-0.00024604384088888764
1376_17,scale,safe,0.8,2.931153855960119e-05,0.00019716942196222918,0.000167857883402628,-12.8125,-16.5,-3.6875,0.0002460479736328125,1.9744038581848145e-07,-0.000245850533246994
1376_17,scale,safe,1.0,2.931153855960119e-05,0.0002234163601827719,0.00019410482162317071,-12.8125,-16.25,-3.4375,0.0002460479736328125,1.0058283805847168e-06,-0.0002450421452522278
1376_17,scale,safe,1.2,2.931153855960119e-05,0.00033535013046647816,0.000306038591906877,-12.8125,-15.875,-3.0625,0.0002460479736328125,2.9653310775756836e-06,-0.00024308264255523682
1376_17,scale,safe,1.5,2.931153855960119e-05,0.00043055708132461493,0.00040124554276501376,-12.8125,-15.625,-2.8125,0.0002460479736328125,7.68899917602539e-06,-0.0002383589744567871
1376_17,scale,random,0.2,2.931153855960119e-05,0.00026947915555885544,0.00024016761699925427,-12.8125,-16.125,-3.3125,0.0002460479736328125,1.0058283805847168e-06,-0.0002450421452522278
1376_17,scale,random,0.5,2.931153855960119e-05,0.0002611903190957194,0.00023187878053611825,-12.8125,-16.25,-3.4375,0.0002460479736328125,1.0058283805847168e-06,-0.0002450421452522278
1376_17,scale,random,0.8,2.931153855960119e-05,0.0002234163601827719,0.00019410482162317071,-12.8125,-16.25,-3.4375,0.0002460479736328125,1.0058283805847168e-06,-0.0002450421452522278
