feature_id,delta,mean_safe,mean_innov,std_safe,std_innov,effect_size_d
11682,-0.52599907,1.5376318,2.0636308,2.920404,3.4167764,-0.16207801
12855,-0.5285615,0.0,0.5285615,0.0,5.0845127,-0.13025747
16382,-0.5290514,0.0,0.5290514,0.0,3.183926,-0.20820512
12340,-0.5300308,0.107806645,0.6378374,0.8377642,8.365511,-0.07916391
1242,-0.5304706,1.3174369,1.8479075,2.4426007,3.3073254,-0.17552991
13874,-0.5352508,1.6759981,2.2112489,3.1831834,3.5564992,-0.15624732
4226,-0.5358011,0.0,0.5358011,0.0,7.727434,-0.086881
10102,-0.5358453,1.6111627,2.147008,3.0600488,3.394514,-0.16351569
8338,-0.53650343,1.3388585,1.8753619,2.5428903,3.5629978,-0.1660956
16214,-0.53693664,0.0,0.53693664,0.0,6.71452,-0.100199275
10613,-0.538749,2.5934389,3.1321878,4.9292355,4.9483404,-0.109027326
7651,-0.5392662,0.17611039,0.7153766,1.150603,3.6200173,-0.18150583
9921,-0.54246134,0.0,0.54246134,0.0,7.4271207,-0.09151764
20,-0.54282063,0.0,0.54282063,0.0,3.179965,-0.21389003
15455,-0.5443078,0.0,0.5443078,0.0,2.5223556,-0.2703926
1528,-0.5445929,0.0,0.5445929,0.0,7.8542404,-0.0868809
3575,-0.5451858,0.04892747,0.5941133,0.5337366,7.6264873,-0.089448094
14511,-0.5452678,1.2896047,1.8348725,2.449343,3.4755857,-0.17354275
8112,-0.5471695,0.0,0.5471695,0.0,7.8914037,-0.08688086
16368,-0.5483193,0.0,0.5483193,0.0,3.3777952,-0.2034027
11950,-0.5484389,1.1245184,1.6729573,2.0939436,3.7370229,-0.16935846
15992,-0.55222327,0.0,0.55222327,0.0,5.627826,-0.12295057
7393,-0.55379075,0.0,0.55379075,0.0,7.9868827,-0.08688102
4382,-0.5543501,0.1595521,0.7139022,1.3221319,7.865629,-0.08760676
4685,-0.55520296,1.2019844,1.7571874,2.2829897,4.015359,-0.15920521
15172,-0.55991745,1.3935509,1.9534683,2.6468277,3.7756991,-0.164231
13010,-0.5646275,1.1561021,1.7207296,2.1958008,4.211198,-0.15632375
7972,-0.56578374,2.064428,2.6302118,3.9209723,4.2400837,-0.13709071
13817,-0.5680298,0.0,0.5680298,0.0,8.192231,-0.08688113
12748,-0.56913424,0.20465161,0.7737858,1.8323803,2.6410189,-0.23919116
9496,-0.5696938,0.0,0.5696938,0.0,5.4982014,-0.12983069
12828,-0.5710781,0.0,0.5710781,0.0,7.5285883,-0.09504701
12348,-0.57481456,0.0,0.57481456,0.0,7.1816597,-0.10029041
2759,-0.5749028,2.0715501,2.646453,3.934454,4.266221,-0.13856976
5829,-0.5773063,1.1274554,1.7047616,2.141423,4.0050764,-0.16748218
2196,-0.5774679,0.0,0.5774679,0.0,8.328346,-0.08688115
1382,-0.5805229,1.8016154,2.3821383,3.4217608,3.8430302,-0.15708345
7254,-0.580561,0.0,0.580561,0.0,8.372966,-0.08688104
3569,-0.5814805,1.5737655,2.155246,2.9890127,3.7948813,-0.16502154
13364,-0.5823391,0.044127416,0.6264665,0.4813734,9.035032,-0.08069594
507,-0.58346736,1.7698029,2.3532703,2.7675097,2.9953847,-0.2001803
10757,-0.58477795,0.0,0.58477795,0.0,8.433783,-0.08688106
7578,-0.58479977,0.58960605,1.1744058,1.5590684,3.4857762,-0.19916569
13527,-0.5848524,0.0,0.5848524,0.0,8.434854,-0.086881086
1689,-0.5891895,3.0537672,3.6429567,4.212073,7.369553,-0.091978885
5811,-0.5907036,0.0,0.5907036,0.0,8.519239,-0.08688109
15382,-0.5923201,0.0,0.5923201,0.0,8.542554,-0.086881086
456,-0.59270036,1.3057121,1.8984125,2.4799302,4.221193,-0.1608253
6953,-0.59323335,1.6923747,2.285608,3.2143085,3.6901243,-0.16830266
11178,-0.59340835,2.060067,2.6534753,3.9126308,4.2378726,-0.14393498
